"Model","Subset","Replicate","K","Lambda","Subset_Type"
"BM","random_3",18,NA,NA,"random"
"BM","random_3",19,NA,NA,"random"
"BM","random_3",20,NA,NA,"random"
"BM","random_3",21,NA,NA,"random"
"BM","random_3",22,NA,NA,"random"
"BM","random_3",23,NA,NA,"random"
"BM","random_3",24,NA,NA,"random"
"BM","random_3",25,NA,NA,"random"
"BM","random_3",26,NA,NA,"random"
"BM","random_3",27,NA,NA,"random"
"BM","random_3",28,NA,NA,"random"
"BM","random_3",29,NA,NA,"random"
"BM","random_3",30,NA,NA,"random"
"BM","random_3",31,NA,NA,"random"
"BM","random_3",32,NA,NA,"random"
"BM","random_3",33,NA,NA,"random"
"BM","random_3",34,NA,NA,"random"
"BM","random_3",35,NA,NA,"random"
"BM","random_3",36,NA,NA,"random"
"BM","random_3",37,NA,NA,"random"
"BM","random_3",38,NA,NA,"random"
"BM","random_3",39,NA,NA,"random"
"BM","random_3",40,NA,NA,"random"
"BM","random_3",41,NA,NA,"random"
"BM","random_3",42,NA,NA,"random"
"BM","random_3",43,NA,NA,"random"
"BM","random_3",44,NA,NA,"random"
"BM","random_3",45,NA,NA,"random"
"BM","random_3",46,NA,NA,"random"
"BM","random_3",47,NA,NA,"random"
"BM","random_3",48,NA,NA,"random"
"BM","random_3",49,NA,NA,"random"
"BM","random_3",50,NA,NA,"random"
"BM","random_3",51,NA,NA,"random"
"BM","random_3",52,NA,NA,"random"
"BM","random_3",53,NA,NA,"random"
"BM","random_3",54,NA,NA,"random"
"BM","random_3",55,NA,NA,"random"
"BM","random_3",56,NA,NA,"random"
"BM","random_3",57,NA,NA,"random"
"BM","random_3",58,NA,NA,"random"
"BM","random_3",59,NA,NA,"random"
"BM","random_3",60,NA,NA,"random"
"BM","random_3",61,NA,NA,"random"
"BM","random_3",62,NA,NA,"random"
"BM","random_3",63,NA,NA,"random"
"BM","random_3",64,NA,NA,"random"
"BM","random_3",65,NA,NA,"random"
"BM","random_3",66,NA,NA,"random"
"BM","random_3",67,NA,NA,"random"
"BM","random_3",68,NA,NA,"random"
"BM","random_3",69,NA,NA,"random"
"BM","random_3",70,NA,NA,"random"
"BM","random_3",71,NA,NA,"random"
"BM","random_3",72,NA,NA,"random"
"BM","random_3",73,NA,NA,"random"
"BM","random_3",74,NA,NA,"random"
"BM","random_3",75,NA,NA,"random"
"BM","random_3",76,NA,NA,"random"
"BM","random_3",77,NA,NA,"random"
"BM","random_3",78,NA,NA,"random"
"BM","random_3",79,NA,NA,"random"
"BM","random_3",80,NA,NA,"random"
"BM","random_3",81,NA,NA,"random"
"BM","random_3",82,NA,NA,"random"
"BM","random_3",83,NA,NA,"random"
"BM","random_3",84,NA,NA,"random"
"BM","random_3",85,NA,NA,"random"
"BM","random_3",86,NA,NA,"random"
"BM","random_3",87,NA,NA,"random"
"BM","random_3",88,NA,NA,"random"
"BM","random_3",89,NA,NA,"random"
"BM","random_3",90,NA,NA,"random"
"BM","random_3",91,NA,NA,"random"
"BM","random_3",92,NA,NA,"random"
"BM","random_3",93,NA,NA,"random"
"BM","random_3",94,NA,NA,"random"
"BM","random_3",95,NA,NA,"random"
"BM","random_3",96,NA,NA,"random"
"BM","random_3",97,NA,NA,"random"
"BM","random_3",98,NA,NA,"random"
"BM","random_3",99,NA,NA,"random"
"BM","random_3",100,NA,NA,"random"
"BM","random_4",1,NA,NA,"random"
"BM","random_4",2,NA,NA,"random"
"BM","random_4",3,NA,NA,"random"
"BM","random_4",4,NA,NA,"random"
"BM","random_4",5,NA,NA,"random"
"BM","random_4",6,NA,NA,"random"
"BM","random_4",7,NA,NA,"random"
"BM","random_4",8,NA,NA,"random"
"BM","random_4",9,NA,NA,"random"
"BM","random_4",10,NA,NA,"random"
"BM","random_4",11,NA,NA,"random"
"BM","random_4",12,NA,NA,"random"
"BM","random_4",13,NA,NA,"random"
"BM","random_4",14,NA,NA,"random"
"BM","random_4",15,NA,NA,"random"
"BM","random_4",16,NA,NA,"random"
"BM","random_4",17,NA,NA,"random"
"BM","random_4",18,NA,NA,"random"
"BM","random_4",19,NA,NA,"random"
"BM","random_4",20,NA,NA,"random"
"BM","random_4",21,NA,NA,"random"
