"Latin name","C512","C256","C128","C64","C32"
"Reithrodontomys sumichrasti","Yes","Yes","Yes","No","No"
"Reithrodontomys tenuirostris","Yes","No","No","No","No"
"Reithrodontomys zacatecae","Yes","No","No","No","No"
"Rhagomys longilingua","Yes","No","No","No","No"
"Rhagomys rufescens","Yes","No","No","No","No"
"Rheomys raptor","Yes","Yes","No","No","No"
"Rheomys thomasi","Yes","No","No","No","No"
"Rhipidomys cariri","Yes","No","No","No","No"
"Rhipidomys emiliae","Yes","Yes","No","No","No"
"Rhipidomys gardneri","Yes","No","No","No","No"
"Rhipidomys ipukensis","Yes","Yes","No","No","No"
"Rhipidomys itoan","Yes","Yes","Yes","No","No"
"Rhipidomys latimanus","Yes","Yes","Yes","Yes","Yes"
"Rhipidomys leucodactylus","Yes","No","No","No","No"
"Rhipidomys macconnelli","Yes","Yes","No","No","No"
"Rhipidomys macrurus","Yes","No","No","No","No"
"Rhipidomys mastacalis","Yes","Yes","No","No","No"
"Rhipidomys nitela","Yes","No","No","No","No"
"Rhipidomys tribei","Yes","No","No","No","No"
"Rhipidomys wetzeli","Yes","No","No","No","No"
"Salinomys delicatus","Yes","No","No","No","No"
"Scapteromys aquaticus","No","No","No","No","No"
"Scapteromys meridionalis","Yes","Yes","Yes","Yes","Yes"
"Scapteromys tumidus","Yes","Yes","No","No","No"
"Scolomys melanops","Yes","No","No","No","No"
"Scolomys ucayalensis","Yes","Yes","Yes","Yes","Yes"
"Scotinomys teguina","Yes","No","No","No","No"
"Scotinomys xerampelinus","Yes","No","No","No","No"
"Sigmodon alleni","Yes","Yes","No","No","No"
"Sigmodon alstoni","Yes","Yes","No","No","No"
"Sigmodon arizonae","Yes","No","No","No","No"
"Sigmodon fulviventer","Yes","No","No","No","No"
"Sigmodon hirsutus","Yes","Yes","Yes","No","No"
"Sigmodon hispidus","Yes","No","No","No","No"
"Sigmodon leucotis","Yes","No","No","No","No"
"Sigmodon mascotensis","Yes","Yes","Yes","Yes","Yes"
"Sigmodon ochrognathus","Yes","Yes","No","No","No"
"Sigmodon peruanus","Yes","No","No","No","No"
"Sigmodon toltecus","Yes","No","No","No","No"
"Sigmodontomys alfari","Yes","Yes","No","No","No"
"Sigmodontomys aphrastus","Yes","No","No","No","No"
"Sooretamys angouya","Yes","No","No","No","No"
"Synaptomys borealis","Yes","No","No","No","No"
"Synaptomys cooperi","Yes","Yes","No","No","No"
"Tapecomys primus","Yes","No","No","No","No"
"Thalpomys cerradensis","Yes","No","No","No","No"
"Thalpomys lasiotis","Yes","No","No","No","No"
"Thaptomys nigrita","Yes","Yes","No","No","No"
"Thomasomys andersoni","Yes","Yes","No","No","No"
"Thomasomys aureus","No","No","No","No","No"
"Thomasomys baeops","Yes","No","No","No","No"
"Thomasomys caudivarius","Yes","No","No","No","No"
"Thomasomys cinnameus","Yes","Yes","Yes","Yes","Yes"
"Thomasomys daphne","No","No","No","No","No"
"Thomasomys erro","Yes","Yes","No","No","No"
"Thomasomys gracilis","Yes","Yes","Yes","No","No"
"Thomasomys ischyrus","Yes","Yes","No","No","No"
"Thomasomys ladewi","Yes","Yes","No","No","No"
"Thomasomys notatus","Yes","No","No","No","No"
"Thomasomys oreas","Yes","No","No","No","No"
"Transandinomys bolivaris","Yes","No","No","No","No"
"Transandinomys talamancae","Yes","Yes","Yes","No","No"
"Tscherskia triton","Yes","No","No","No","No"
"Tylomys nudicaudus","Yes","Yes","No","No","No"
"Tylomys watsoni","Yes","Yes","Yes","No","No"
"Volemys millicens","Yes","No","No","No","No"
"Volemys musseri","Yes","No","No","No","No"
"Wiedomys cerradensis","Yes","Yes","Yes","Yes","No"
