"Analysis","Pool","N","s","Subset_Type","Metric","Observed","Baseline_Mean","Baseline_SD","Baseline_Q025","Baseline_Q975","SES","P_value","Tail","Covariance_Model","Covariance_Param","Covariance_Param_Label"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","rmax",0.193773806307359,0.24191383154758,0.00405834028924262,0.232172093043249,0.245795557543538,-11.8619982084362,0.000999000999000999,"lower","lambda_BM",0.25,"lambda=0.25"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","neff_mean",19.2809336407188,17.7511083904092,0.782455907479009,16.1146522332336,19.2513047251922,1.95515841300059,0.021978021978022,"upper","lambda_BM",0.25,"lambda=0.25"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","off_mean",0.129555993391324,0.0512894800712516,0.00355246700438643,0.0453623212062963,0.0587611390622153,22.031594726547,0.000999000999000999,"upper","lambda_BM",0.25,"lambda=0.25"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","rmax",0.245795557543538,0.24191383154758,0.00405834028924262,0.232172093043249,0.245795557543538,0.956481152220539,0.263736263736264,"upper","lambda_BM",0.25,"lambda=0.25"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","neff_mean",7.0643318349904,17.7511083904092,0.782455907479009,16.1146522332336,19.2513047251922,-13.6579920392581,0.000999000999000999,"lower","lambda_BM",0.25,"lambda=0.25"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","off_mean",0.0194829684644442,0.0205157920285006,0.00142098680175457,0.0181449284825185,0.0235044556248861,-0.726835437726194,0.25974025974026,"lower","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","rmax",0.0775095225229437,0.0967655326190319,0.00162333611569705,0.0928688372172996,0.098318223017415,-11.8619982084362,0.000999000999000999,"lower","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","neff_mean",31.3246247087865,29.8531053191677,0.930271617759881,27.9117163551626,31.537773440344,1.58181692478404,0.051948051948052,"upper","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","off_mean",0.0518223973565296,0.0205157920285006,0.00142098680175457,0.0181449284825185,0.0235044556248861,22.031594726547,0.000999000999000999,"upper","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","rmax",0.098318223017415,0.0967655326190319,0.00162333611569705,0.0928688372172996,0.098318223017415,0.956481152220544,0.263736263736264,"upper","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","neff_mean",15.0789055602419,29.8531053191677,0.930271617759881,27.9117163551626,31.537773440344,-15.8815978869725,0.000999000999000999,"lower","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","off_mean",0,0,0,0,0,NA,1,"lower","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","rmax",0,0,0,0,0,NA,1,"lower","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","neff_mean",64,64,0,64,64,NA,1,"upper","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","off_mean",0,0,0,0,0,NA,1,"upper","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","rmax",0,0,0,0,0,NA,1,"upper","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","neff_mean",64,64,0,64,64,NA,1,"lower","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","off_mean",1.62671883718666e-05,0.00104500260397665,0.000384121176389907,0.000426566079407336,0.00186557589907391,-2.6781533506514,0.000999000999000999,"lower","OU",0.05,"half_life_frac=0.05"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","rmax",0.0019582892435857,0.444922459396317,0.162944201448472,0.138459413682235,0.627326862224783,-2.71850220023209,0.000999000999000999,"lower","OU",0.05,"half_life_frac=0.05"
