"SubsetID","MinPD","MeanPD","MeanNND","MaxPD"
119,0.2136514338,66.5662167033693,16.529286764859,85.9864906647
120,3.9020720006,64.029230297719,18.44019460272,85.9864910803
121,5.6256641322,68.0216117967945,16.894930528272,85.9864913002
122,5.6256641005,66.8653847165787,29.278380010162,85.9864907645
123,0.2136514338,66.5280455691139,16.97453843379,85.9864904447
124,2.928019428,67.9332246154385,17.245930997411,85.9864909475
125,5.7533297818,68.5552887253079,22.335631695725,85.9864913009
126,2.889526116,66.758378484134,18.568875171734,85.9864909471
127,8.454885904,65.2620726493245,23.354362880117,85.9864916086
128,2.5254806776,67.6467593670145,19.307858771176,85.9864903799
129,2.1515064624,67.8129534723242,18.53000327102,85.9864912998
130,5.520167604,66.7400401275705,24.38667363793,85.9864900413
131,1.1709612834,64.4969224772682,17.876365247749,85.9864907609
132,4.3135470671,67.6331967949951,19.159039545212,85.9864919252
133,2.4373876922,65.3779898281145,18.076406968236,85.9864918306
134,2.7920379338,63.0055428756093,10.523990508602,85.9864910755
135,4.74337250935,68.063210773179,15.102746270514,85.9864924079
136,1.067974692,62.61430739365,9.43547559857,85.9864910753
137,5.70599443954,66.0248567374014,21.760745684924,85.9864915862
138,0.2188884402,64.6405118034684,15.98851451221,85.9864913011
139,0.831873366,58.087658591994,18.213760080992,85.9864907964
140,2.7920379016,65.3724915406502,16.708169897654,85.9864912665
141,2.711255442,68.1941367877293,19.925694830259,85.9864912656
142,5.6308779777,67.4361704969632,15.740369440941,85.9864922132
143,4.313546909,68.2729035233856,22.126301977714,85.9864903166
144,1.5782429274,67.0825152290371,16.49688181777,85.9864907604
145,5.6256643218,69.1998107499353,20.72774465441,85.9864909471
146,4.53796981,67.5702619995368,15.70135138645,85.9864907575
147,0.2136514338,62.4631313987316,22.403232568535,85.9864910802
148,4.9493325172,69.5975216501893,22.372488538757,85.986490354
149,2.928019428,66.6470920550116,21.279852372392,85.9864900385
150,2.1075583784,66.1527547442382,15.072614316739,85.9864902221
151,7.5705688536,67.6046858081805,23.82231539449,85.9864912998
152,3.13275319,68.8469108235956,22.463088135297,85.9864909865
153,0.3992397754,68.4815671433114,22.7950676724655,85.9864907964
154,5.6308781356,66.7041341361834,21.757203389375,85.9864922446
155,2.6205933699,67.405571189169,20.6416255118795,85.9864913002
156,6.2706099197,65.7049732157547,20.93107111174,85.9864913003
157,1.5557319582,67.7775829087691,22.2912074628805,85.9864915852
158,6.488322762,68.3995917425464,22.605587688878,85.9864906699
159,4.6331794413,67.386757842109,18.066919497698,85.9864910802
160,0.8948449048,67.2247241665932,20.782894255345,85.9864919256
161,4.3135470355,65.9584246642576,12.988455061265,85.9864916146
162,2.045338152,63.7334333898305,12.95992594822,85.9864912998
163,2.7920378384,66.2286231493542,16.932785348825,85.9864909842
164,7.9454222227,61.0763484022132,20.409726053445,85.9864911395
165,8.454885904,68.236260929323,19.614830762114,85.9864914552
166,10.0151453263,63.9868826487648,22.847174981198,85.9864903532
167,3.6082291603,65.4587791308958,20.93641859825,85.9864910419
168,4.1458294283,66.255268776888,22.896354774332,85.9864913001
169,3.828413328,66.858220245058,21.720098706338,85.986491618
170,0.5082199626,67.481887874877,17.654739868832,85.9864901321
171,2.4373876922,66.3795436428433,13.612335009417,85.9864917128
172,2.7920378384,63.9431242282732,17.85608653562,85.9864913003
173,0.8948449048,67.3636206976245,15.753523874502,85.9864915534
174,2.070630254,65.7060286268334,24.066171589845,85.9864916165
175,2.649422088,66.7055006132066,21.801089293335,85.9864907963
176,11.2915825374,66.4221604203068,28.82270239784,85.9864917401
177,5.42293620975,66.9167792845696,21.80437457485,85.9864901243
178,4.1555489376,63.4804268270237,19.489276830275,85.9864912685
179,2.131154862,64.0261768109456,17.991524980384,85.9864904413
180,1.5782429274,61.0329898507823,16.212030597135,85.9864918306
181,2.5720437269,67.2592850810445,23.2887298518225,85.9864906374
182,8.4548856199,65.5211159547419,19.270781414207,85.9864917127
183,1.5782429905,68.7037158432881,20.039336120457,85.9864908265
