"N","s","Subset_Type","Covariance_Model","Covariance_Param_Label","Metric","Observed","SES","P_value"
512,8,"clustered","OU","half_life_frac=0.5","off_mean",0.852750938808701,20.6544169139409,0.000999000999000999
512,8,"clustered","OU","half_life_frac=0.5","rmax",0.973075617472326,2.96560460006152,0.001998001998002
512,8,"clustered","OU","half_life_frac=0.5","neff_mean",1.16366386660015,-6.62246966516898,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=1","off_mean",0.0229963856219241,-2.30576076723895,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=1","rmax",0.178588858705406,-3.45655020923527,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=1","neff_mean",6.90974961007214,3.91896481659398,0.000999000999000999
512,8,"clustered","OU","half_life_frac=1","off_mean",0.904228236139847,14.4673032603627,0.000999000999000999
512,8,"clustered","OU","half_life_frac=1","rmax",0.98306470905267,2.61483167696097,0.001998001998002
512,8,"clustered","OU","half_life_frac=1","neff_mean",1.10116756880387,-5.39091674288794,0.000999000999000999
512,8,"dispersed","EB","EB_r_-0.1","off_mean",0.0394208961477419,-2.25915100786978,0.000999000999000999
512,8,"dispersed","EB","EB_r_-0.1","rmax",0.28883041026063,-4.40024500122194,0.000999000999000999
512,8,"dispersed","EB","EB_r_-0.1","neff_mean",6.30924695607731,3.91826219073495,0.000999000999000999
512,8,"clustered","EB","EB_r_-0.1","off_mean",0.940981665019129,10.6859249948574,0.000999000999000999
512,8,"clustered","EB","EB_r_-0.1","rmax",0.989865980938786,2.33465992258214,0.001998001998002
512,8,"clustered","EB","EB_r_-0.1","neff_mean",1.06025908220721,-4.68489014788006,0.000999000999000999
512,8,"dispersed","EB","EB_r_-0.5","off_mean",0.0287943660693985,-2.29522494347294,0.000999000999000999
512,8,"dispersed","EB","EB_r_-0.5","rmax",0.219122625058486,-3.82154977965607,0.000999000999000999
512,8,"dispersed","EB","EB_r_-0.5","neff_mean",6.68426484124094,3.95161832538325,0.000999000999000999
512,8,"clustered","EB","EB_r_-0.5","off_mean",0.921025269252407,12.752407801785,0.000999000999000999
512,8,"clustered","EB","EB_r_-0.5","rmax",0.98622174090502,2.48756902182265,0.001998001998002
512,8,"clustered","EB","EB_r_-0.5","neff_mean",1.08212551926328,-5.06452671723663,0.000999000999000999
