"Analysis","N","s","Species_Index","Dispersed","Clustered"
"Cricetidae_C128",128,32,30,"Necromys_lactens_CRICETIDAE_RODENTIA","Neodon_linzhiensis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,31,"Oxymycterus_quaestor_CRICETIDAE_RODENTIA","Neodon_leucurus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,32,"Eothenomys_miletus_CRICETIDAE_RODENTIA","Arborimus_albipes_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,1,"Phodopus_sungorus_CRICETIDAE_RODENTIA","Rhipidomys_itoan_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,2,"Neotoma_mexicana_CRICETIDAE_RODENTIA","Rhipidomys_latimanus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,3,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA","Thomasomys_gracilis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,4,"Microtus_pinetorum_CRICETIDAE_RODENTIA","Thomasomys_cinnameus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,5,"Tylomys_watsoni_CRICETIDAE_RODENTIA","Aepeomys_lugens_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,6,"Reithrodontomys_hirsutus_CRICETIDAE_RODENTIA","Chilomys_instans_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,7,"Mesocricetus_newtoni_CRICETIDAE_RODENTIA","Brucepattersonius_iheringi_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,8,"Sigmodon_hirsutus_CRICETIDAE_RODENTIA","Lenoxus_apicalis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,9,"Baiomys_musculus_CRICETIDAE_RODENTIA","Scapteromys_meridionalis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,10,"Cricetulus_longicaudatus_CRICETIDAE_RODENTIA","Kunsia_tomentosus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,11,"Scolomys_ucayalensis_CRICETIDAE_RODENTIA","Bibimys_labiosus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,12,"Notiomys_edwardsii_CRICETIDAE_RODENTIA","Oxymycterus_quaestor_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,13,"Peromyscus_polionotus_CRICETIDAE_RODENTIA","Oxymycterus_hiska_CRICETIDAE_RODENTIA"
